iter	Logloss
0	0.5890910339
1	0.516587321
2	0.4562883504
3	0.3947443899
4	0.3497237651
5	0.3243872579
6	0.31350619
7	0.2960605113
8	0.2771610514
9	0.2683087667
10	0.2532454427
11	0.2480492401
12	0.2430379232
13	0.2375591787
14	0.2344163513
15	0.2332222493
16	0.2292170207
17	0.2277378082
18	0.2243983968
19	0.220253245
20	0.2172070821
21	0.2152483114
22	0.2128169378
23	0.2108481598
24	0.209044927
25	0.2072436015
26	0.2042321396
27	0.2019431559
28	0.2007696279
29	0.1991745758
30	0.1973271179
31	0.1954111989
32	0.1934956614
33	0.1910970306
34	0.1891692352
35	0.1877329
36	0.185806427
37	0.1845488103
38	0.1831187948
39	0.1811206563
40	0.1801702754
41	0.178588651
42	0.1769246165
43	0.1752575302
44	0.1741785431
45	0.173144455
46	0.1717173258
47	0.17008962
48	0.1686228689
49	0.1674849447
50	0.1653450394
51	0.1635604095
52	0.1632277298
53	0.1613233058
54	0.159782664
55	0.1592880122
56	0.1580798594
57	0.1566745758
58	0.15575737
59	0.1547660446
60	0.1538209534
61	0.1526413854
62	0.1516054408
63	0.1499653625
64	0.1492685699
65	0.1482126999
66	0.1472182337
67	0.1464964294
68	0.145825882
69	0.1448866018
70	0.143813502
71	0.1429573695
72	0.1422670746
73	0.141070048
74	0.1406481171
75	0.139550883
76	0.1386269124
77	0.1378208542
78	0.136651179
79	0.1354403178
80	0.1347417196
81	0.1340299479
82	0.1331457138
83	0.1325489044
84	0.1315593974
85	0.1307526398
86	0.1298838298
87	0.1290224711
88	0.1281480916
89	0.1274127324
90	0.1266403198
91	0.1257451884
92	0.1249944814
93	0.1243054962
94	0.1238327026
95	0.1233786011
96	0.1232521566
97	0.1226420085
98	0.121830368
99	0.1211185455
100	0.1210017649
101	0.1203955841
102	0.1200010681
103	0.1194598643
104	0.1193210856
105	0.119217186
106	0.1183240509
107	0.1177277629
108	0.1173769124
109	0.116813914
110	0.1160547002
111	0.1158247884
112	0.1152396901
113	0.1143036652
114	0.1137703832
115	0.1134015656
116	0.1128387451
117	0.1124366379
118	0.1117107646
119	0.111202062
120	0.110577151
121	0.1103963598
122	0.1095442454
123	0.1089211273
124	0.1086353938
125	0.1083374786
126	0.107500178
127	0.1067734655
128	0.1065524419
129	0.1055901527
130	0.105098273
131	0.104765962
132	0.1040320333
133	0.1039311091
134	0.1030817604
135	0.1027370262
136	0.1024692472
137	0.1019494756
138	0.101628348
139	0.1014203517
140	0.1006315867
141	0.09977544785
142	0.09967619578
143	0.09913820267
144	0.09823737462
145	0.09792229335
146	0.09729468664
147	0.09717786153
148	0.09694442113
149	0.09630542755
150	0.09588974635
151	0.09526733398
152	0.09469952265
153	0.09420602163
154	0.09392129262
155	0.09344827016
156	0.09313852946
157	0.09302001953
158	0.09224914551
159	0.09173457464
160	0.0912992541
161	0.09054935455
162	0.09018726349
163	0.08917126973
164	0.08874506632
165	0.08809846878
166	0.08760182699
167	0.08718254725
168	0.08679336548
169	0.08653292338
170	0.08587907155
171	0.08520673752
172	0.08495301565
173	0.08473545074
174	0.08433587392
175	0.08394910177
176	0.08366804759
177	0.08319615682
178	0.08276580811
179	0.08216042837
180	0.08180226644
181	0.08175572713
182	0.08148807526
183	0.08111042023
184	0.0807360967
185	0.08016429265
186	0.07983632406
187	0.07952789307
188	0.07914952596
189	0.07883385976
190	0.0786187617
191	0.07817179998
192	0.07765514374
193	0.07742660522
194	0.0773129336
195	0.07713219961
196	0.07677874247
197	0.07622459412
198	0.07586121877
199	0.07544384003
200	0.074954319
201	0.07464921316
202	0.07429503123
203	0.07410773595
204	0.0734824117
205	0.07315909068
206	0.07262922923
207	0.07226198196
208	0.07201780955
209	0.07181222916
210	0.0715092659
211	0.07131347656
212	0.0707730484
213	0.07038662593
214	0.0699989446
215	0.0699199295
216	0.06947917938
217	0.0692991511
218	0.06897197723
219	0.06867665609
220	0.06849666595
221	0.06814290365
222	0.0676585261
223	0.06718751907
224	0.06692265193
225	0.06668964386
226	0.06663297017
227	0.06641601563
228	0.06628843943
229	0.0658749644
230	0.06558310827
231	0.06535380681
232	0.06525304159
233	0.06493999481
234	0.06457145691
235	0.0643223381
236	0.06404512405
237	0.06368349711
238	0.06318555832
239	0.06296375275
240	0.06249460856
241	0.06241888682
242	0.06230410258
243	0.06213474274
244	0.06172028859
245	0.06135953267
246	0.06091644923
247	0.06073486964
248	0.06055027008
249	0.06016763051
250	0.0601380984
251	0.05987014771
252	0.05961429596
253	0.05894515355
254	0.05872608185
255	0.05856610616
256	0.05844594955
257	0.05821581523
258	0.05800876617
259	0.05783326467
260	0.05768672943
261	0.05745085398
262	0.0572381719
263	0.05697390238
264	0.05681355158
265	0.05665126165
266	0.05641716003
267	0.05631128947
268	0.05580197016
269	0.05552794139
270	0.05550432841
271	0.05513434092
272	0.05483670553
273	0.05472336451
274	0.05458487829
275	0.05425518672
276	0.05410311381
277	0.05382034302
278	0.053542099
279	0.05319565773
280	0.05288732529
281	0.05251887957
282	0.0524090449
283	0.05209283829
284	0.05186230977
285	0.05183852514
286	0.05152358055
287	0.05124215444
288	0.05096845627
289	0.05069211324
290	0.05040106138
291	0.05034310023
292	0.05019910177
293	0.05007876078
294	0.04984910965
295	0.04949982007
296	0.0492321682
297	0.04902350744
298	0.04877267202
299	0.04854429245
300	0.04839274089
301	0.04819422086
302	0.04812365214
303	0.04797209422
304	0.04780328751
305	0.0475006485
306	0.04740541458
307	0.04724269231
308	0.04705334345
309	0.04677461306
310	0.04671218872
311	0.04638160388
312	0.0460742569
313	0.04601900736
314	0.04586870511
315	0.04570870717
316	0.04548222542
317	0.04535334905
318	0.04505411784
319	0.04487350464
320	0.04468554815
321	0.04432938258
322	0.04424588203
323	0.04412944158
324	0.04395031293
325	0.04383702278
326	0.04367846489
327	0.04354745229
328	0.04348398844
329	0.04327514331
330	0.04315884908
331	0.04300568899
332	0.042915411
333	0.04274522146
334	0.04245450974
335	0.04234679858
336	0.04225006739
337	0.04204608917
338	0.04183808645
339	0.04174270312
340	0.04163820267
341	0.04150649389
342	0.04136545181
343	0.041260554
344	0.04122598012
345	0.04119859695
346	0.0410286204
347	0.04093271255
348	0.04082386335
349	0.04077559471
350	0.04061220805
351	0.04046593666
352	0.04028968811
353	0.0401425902
354	0.03999879837
355	0.03988646825
356	0.03979346593
357	0.03967144012
358	0.03962461789
359	0.03945503553
360	0.03935587883
361	0.03914957047
362	0.03898266474
363	0.03886054357
364	0.0387189738
365	0.03860699336
366	0.03857082049
367	0.03831218719
368	0.03822191238
369	0.03814922015
370	0.03790995916
371	0.03786511103
372	0.03782381694
373	0.03769670486
374	0.03758726756
375	0.03753383001
376	0.03746140162
377	0.03734126409
378	0.03721611023
379	0.03710617383
380	0.03708887418
381	0.03697272937
382	0.03684803645
383	0.03677072843
384	0.03669986089
385	0.03647786776
386	0.03628966649
387	0.03620913188
388	0.0361768659
389	0.03599448522
390	0.03585546176
391	0.03575975418
392	0.03563340823
393	0.03546753248
394	0.03542042414
395	0.03532230695
396	0.03526172638
397	0.0352007103
398	0.03508353551
399	0.03493057887
400	0.03483327866
401	0.03476034482
402	0.0347448794
403	0.03457792282
404	0.03449506124
405	0.03427429517
406	0.03420514425
407	0.03401277224
408	0.03391994476
409	0.03383984884
410	0.03378292084
411	0.0337754186
412	0.03372369766
413	0.03360573451
414	0.03356626193
415	0.03346692403
416	0.03329669952
417	0.0332833608
418	0.03311233203
419	0.03305053393
420	0.03296246211
421	0.03277724266
422	0.03267363866
423	0.03262653669
424	0.03254784266
425	0.03243638992
426	0.03234276454
427	0.03226317724
428	0.03213095983
429	0.03200810432
430	0.0319291242
431	0.03179238637
432	0.03175747236
433	0.03167754491
434	0.03156024933
435	0.03141225497
436	0.03133845647
437	0.03124647141
438	0.03116449356
439	0.03108017604
440	0.03099352201
441	0.03089632988
442	0.03086613973
443	0.03074122747
444	0.03064507167
445	0.03062778155
446	0.03057215055
447	0.03052056948
448	0.030445563
449	0.03034816106
450	0.03023687363
451	0.03017385165
452	0.03009423574
453	0.03003353119
454	0.02993147532
455	0.02980806351
456	0.02970757802
457	0.02960891088
458	0.02954792976
459	0.02946591059
460	0.02943351746
461	0.02940452576
462	0.02938266118
463	0.02929943403
464	0.02914611816
465	0.02905785878
466	0.02888599396
467	0.02880099932
468	0.02879309336
469	0.02863584201
470	0.02855175972
471	0.02846499125
472	0.02842915853
473	0.0283928299
474	0.02835863749
475	0.02823256175
476	0.02816568057
477	0.02810393651
478	0.02801355362
479	0.02796063741
480	0.02783835411
481	0.02780765533
482	0.02772834778
483	0.02771825473
484	0.02767106056
485	0.0275956885
486	0.02759080251
487	0.02754785538
488	0.02745396932
489	0.027390426
490	0.02726354599
491	0.02719460805
492	0.02712171555
493	0.02702163696
494	0.02699452718
495	0.02696654002
496	0.02692550023
497	0.02689124107
498	0.02685007731
499	0.02684463501
