iter	Passed	Remaining
0	5	2810
1	9	2272
2	12	2102
3	16	2075
4	20	2045
5	23	1966
6	26	1876
7	30	1865
8	36	1988
9	39	1915
10	42	1878
11	45	1834
12	48	1822
13	55	1921
14	59	1927
15	62	1903
16	66	1893
17	69	1862
18	74	1876
19	77	1865
20	81	1856
21	85	1847
22	88	1838
23	92	1830
24	94	1803
25	98	1795
26	102	1796
27	106	1790
28	109	1772
29	112	1766
30	116	1762
31	120	1756
32	123	1753
33	127	1746
34	130	1738
35	134	1735
36	138	1732
37	142	1728
38	145	1724
39	149	1718
40	153	1716
41	156	1711
42	161	1711
43	164	1704
44	168	1700
45	172	1697
46	175	1696
47	179	1691
48	183	1688
49	187	1685
50	190	1680
51	194	1677
52	197	1663
53	200	1659
54	204	1655
55	207	1641
56	210	1637
57	214	1632
58	217	1628
59	221	1623
60	224	1618
61	228	1614
62	232	1612
63	235	1607
64	239	1600
65	242	1594
66	246	1590
67	250	1589
68	253	1582
69	256	1578
70	260	1573
71	264	1570
72	268	1568
73	271	1564
74	275	1560
75	278	1556
76	282	1553
77	286	1548
78	289	1545
79	293	1541
80	297	1538
81	301	1534
82	304	1531
83	307	1525
84	311	1522
85	315	1518
86	319	1517
87	323	1514
88	327	1513
89	331	1510
90	335	1507
91	339	1504
92	342	1500
93	346	1496
94	350	1493
95	354	1490
96	357	1487
97	361	1483
98	365	1478
99	368	1475
100	372	1472
101	376	1468
102	380	1464
103	383	1461
104	387	1457
105	391	1453
106	394	1449
107	398	1445
108	401	1441
109	405	1437
110	409	1434
111	413	1431
112	416	1427
113	420	1424
114	424	1422
115	429	1420
116	432	1417
117	436	1413
118	440	1410
119	444	1406
120	447	1403
121	452	1400
122	455	1396
123	459	1393
124	463	1389
125	467	1387
126	471	1384
127	475	1380
128	479	1378
129	483	1375
130	487	1372
131	490	1368
132	494	1364
133	498	1361
134	502	1357
135	505	1353
136	509	1349
137	513	1345
138	516	1342
139	520	1338
140	523	1334
141	527	1330
142	531	1326
143	534	1322
144	538	1318
145	542	1314
146	545	1310
147	549	1306
148	553	1303
149	556	1298
150	560	1295
151	563	1291
152	567	1287
153	571	1283
154	574	1278
155	578	1275
156	581	1271
157	585	1267
158	589	1263
159	593	1260
160	596	1256
161	600	1252
162	604	1249
163	608	1246
164	611	1242
165	615	1238
166	619	1234
167	622	1230
168	626	1227
169	630	1223
170	634	1219
171	637	1216
172	641	1212
173	645	1209
174	648	1205
175	652	1201
176	656	1198
177	660	1194
178	663	1190
179	667	1186
180	671	1182
181	674	1179
182	678	1175
183	682	1171
184	685	1167
185	689	1163
186	693	1160
187	696	1156
188	700	1152
189	703	1147
190	706	1143
191	711	1141
192	716	1139
193	719	1135
194	723	1131
195	728	1129
196	732	1126
197	736	1122
198	740	1119
199	745	1117
200	752	1118
201	759	1120
202	767	1123
203	776	1126
204	785	1130
205	793	1132
206	803	1136
207	812	1140
208	821	1144
209	831	1147
210	840	1150
211	850	1155
212	859	1158
213	868	1160
214	875	1160
215	881	1158
216	886	1156
217	891	1152
218	895	1148
219	899	1144
220	904	1141
221	909	1138
222	913	1135
223	918	1131
224	922	1127
225	927	1124
226	931	1119
227	935	1115
228	941	1114
229	945	1109
230	949	1105
231	953	1101
232	957	1097
233	961	1093
234	965	1089
235	971	1086
236	975	1082
237	979	1077
238	983	1073
239	987	1070
240	991	1065
241	995	1061
242	1000	1057
243	1004	1053
244	1008	1049
245	1012	1045
246	1017	1042
247	1021	1038
248	1025	1034
249	1030	1030
250	1034	1026
251	1039	1022
252	1043	1018
253	1047	1014
254	1052	1011
255	1056	1007
256	1060	1003
257	1065	999
258	1069	995
259	1073	990
260	1077	986
261	1081	982
262	1085	978
263	1090	974
264	1095	971
265	1100	967
266	1104	963
267	1108	959
268	1113	956
269	1117	952
270	1121	947
271	1125	943
272	1131	940
273	1136	937
274	1140	932
275	1144	928
276	1149	925
277	1153	921
278	1157	917
279	1162	913
280	1167	909
281	1171	905
282	1175	901
283	1180	897
284	1184	893
285	1188	889
286	1193	885
287	1198	881
288	1202	877
289	1206	873
290	1211	870
291	1216	866
292	1220	862
293	1224	857
294	1228	854
295	1233	850
296	1237	845
297	1241	841
298	1245	837
299	1249	833
300	1253	829
301	1258	824
302	1262	820
303	1266	816
304	1271	812
305	1275	808
306	1279	804
307	1283	799
308	1287	795
309	1291	791
310	1295	787
311	1300	783
312	1304	779
313	1308	775
314	1312	770
315	1317	766
316	1321	762
317	1325	758
318	1329	754
319	1333	750
320	1337	746
321	1341	741
322	1345	737
323	1350	733
324	1354	729
325	1358	725
326	1362	720
327	1367	716
328	1371	712
329	1375	708
330	1379	704
331	1383	700
332	1387	695
333	1391	691
334	1395	687
335	1400	683
336	1404	679
337	1408	675
338	1412	670
339	1416	666
340	1421	662
341	1425	658
342	1430	654
343	1434	650
344	1438	646
345	1442	641
346	1446	637
347	1450	633
348	1454	629
349	1459	625
350	1463	621
351	1467	617
352	1472	613
353	1475	608
354	1480	604
355	1485	600
356	1490	597
357	1496	593
358	1500	589
359	1504	585
360	1508	580
361	1513	577
362	1517	572
363	1521	568
364	1526	564
365	1530	560
366	1534	555
367	1538	551
368	1542	547
369	1547	543
370	1551	539
371	1555	535
372	1559	531
373	1563	526
374	1567	522
375	1572	518
376	1576	514
377	1580	510
378	1584	505
379	1588	501
380	1592	497
381	1596	493
382	1601	489
383	1605	484
384	1609	480
385	1613	476
386	1617	472
387	1621	468
388	1625	463
389	1629	459
390	1633	455
391	1638	451
392	1642	447
393	1646	442
394	1650	438
395	1654	434
396	1659	430
397	1663	426
398	1667	421
399	1671	417
400	1675	413
401	1679	409
402	1683	405
403	1686	400
404	1691	396
405	1695	392
406	1699	388
407	1704	384
408	1709	380
409	1713	376
410	1717	371
411	1721	367
412	1725	363
413	1729	359
414	1732	354
415	1737	350
416	1741	346
417	1745	342
418	1749	338
419	1753	333
420	1757	329
421	1761	325
422	1765	321
423	1769	317
424	1773	313
425	1777	308
426	1782	304
427	1787	300
428	1791	296
429	1796	292
430	1800	288
431	1804	284
432	1809	279
433	1813	275
434	1817	271
435	1821	267
436	1826	263
437	1830	259
438	1834	254
439	1838	250
440	1842	246
441	1846	242
442	1850	238
443	1854	233
444	1858	229
445	1863	225
446	1867	221
447	1871	217
448	1875	213
449	1879	208
450	1884	204
451	1889	200
452	1893	196
453	1898	192
454	1902	188
455	1906	183
456	1910	179
457	1913	175
458	1918	171
459	1922	167
460	1926	162
461	1930	158
462	1934	154
463	1939	150
464	1942	146
465	1946	142
466	1951	137
467	1955	133
468	1958	129
469	1962	125
470	1966	121
471	1970	116
472	1974	112
473	1978	108
474	1982	104
475	1986	100
476	1990	95
477	1994	91
478	1998	87
479	2002	83
480	2006	79
481	2010	75
482	2015	70
483	2019	66
484	2023	62
485	2027	58
486	2031	54
487	2035	50
488	2040	45
489	2044	41
490	2048	37
491	2052	33
492	2056	29
493	2061	25
494	2065	20
495	2070	16
496	2074	12
497	2078	8
498	2082	4
499	2087	0
